"Large","name(Large)","Medium","name(medium)","Small","name(small)","Fine","name(fine)","Applicable example"
"","","04","Other administrative professions","049","Other administrative professions","049-99","Other administrative professions","Retail store manager (individual business: mainly engaged in administrative work), restaurant manager (individual business: mainly engaged in administrative work), inn manager (individual business: mainly engaged in administrative work) What to do)"
"B","Professional / technical occupation","05","researcher","051","researcher","051-01","Science researcher","Chemistry researcher, meteorology researcher, mathematics researcher, biology researcher, geology researcher, astronomy researcher, physics researcher"
"","","","","","","051-02","Engineering researcher","Mechanical engineering researcher, architectural engineering researcher, material engineering researcher, information engineering researcher, bioengineering researcher, electrical engineering researcher, electronic engineering researcher, civil engineering / architectural engineering researcher, biotechnology researcher"
"","","","","","","051-03","Agricultural / Forestry / Fisheries Researcher","Veterinary researchers, fisheries researchers, animal science researchers, agricultural researchers, forestry researchers"
"","","","","","","051-04","Medical researcher","Dental researcher, physiology researcher, pathology researcher, pharmacy researcher"
"","","","","","","051-05","Humanities researcher","Pedagogical researcher, historical researcher, psychological researcher, philosophical researcher, art researcher, literary researcher"
"","","","","","","051-06","Social science researcher","Business administration researcher, economics researcher, sociology researcher, commerce researcher, political science researcher, law researcher"
"","","","","","","051-99","Researchers not classified elsewhere","Nutrition researcher, home economics researcher, food chemistry researcher, mechatronics researcher"
"","","06","Agriculture, Forestry and Fisheries Engineer","061","Agriculture, Forestry and Fisheries Engineer","061-01","Agricultural engineer","Agricultural technology instructor, agricultural management instructor, agricultural product inspector, extension instructor (agriculture)"
"","","","","","","061-02","Livestock technician","Domestic animal insemination teacher (non-veterinarian), livestock technical instructor, chick discriminator, extension instructor (livestock), hatching egg technician, manure treatment technician"
"","","","","","","061-03","Forestry technician","Seedling engineer for forests, forest pest control engineer, extension instructor (forestry)"
"","","","","","","061-04","Fisheries engineer","Fisheries resource conservation instructor, extension instructor (fishery industry), aquaculture engineer"
"","","07","Development engineer","071","Food development technician","071-01","Food development technician","Fisheries food development engineer, soft drink development engineer, brewing engineer (development), dairy product development engineer"
"","","","","072","Electrical / electronic / telecommunications development engineer (excluding communication networks)","072-01","Electrical / electronic / telecommunications design engineer","Liquid crystal display (LCD) design engineer, circuit design engineer, television design engineer, telecommunications equipment design engineer, electronic equipment design engineer, electric motor design engineer, telephone design engineer, generator design engineer"
"","","","","","","072-99","Electrical / electronic / telecommunications development engineers not classified elsewhere (excluding communication networks)","TV development engineer (excluding design), electric motor development engineer (excluding design), telephone development engineer (excluding design), power transmission development engineer, generator development engineer (excluding design), semiconductor product development Engineer (excluding design)"
"","","","","073","Machine development engineer","073-01","Mechanical design engineer","Engine design engineer, chemical plant design engineer, mold designer, construction machine design engineer, aviation instrument design engineer, machine tool design engineer, industrial robot design engineer, precision measuring tool design engineer, civil engineering machine Design engineer, agricultural machine design engineer, semiconductor manufacturing equipment design engineer, boiler design engineer"
"","","","","","","073-99","Machine development engineer not classified elsewhere","Printing machine development engineer (excluding design), construction machine development engineer (excluding design), prime mover development engineer (excluding design), automated machine development engineer (excluding design), camera development engineer (design) (Excluding), precision measuring machine development engineer (excluding design), dyeing machine development engineer (excluding design)"
"","","","","074","Automobile development engineer","074-01","Automobile design engineer","Bus body design engineer"
"","","","","","","074-99","Automobile development engineer not classified elsewhere","Automobile development engineer (excluding design)"
"","","","","075","Transportation equipment development engineer (excluding automobiles)","075-01","Transportation equipment development engineer (excluding automobiles)","Aircraft design engineer, ship design engineer, shipbuilding engineer (development), railroad vehicle design engineer"
"","","","","076","Metal smelting / material development engineer","076-01","Metal smelting / material development engineer","Rolling development engineer, casting development engineer, metal smelting development engineer, alloy development engineer, iron making development engineer, forging development engineer, casting development engineer, electric refining development engineer"
"","","","","077","Chemical development engineer","077-01","Chemical development engineer","Chemical fiber development engineer, chemical fertilizer development engineer, chemical drug development engineer, cosmetics development engineer, synthetic rubber development engineer, polymer chemical product development engineer, biochemical development engineer, plastic product development engineer, fats and oils Product development engineer, inorganic chemical product development engineer, organic chemical product development engineer"
"","","","","079","Other development engineers","079-01","Ceramic product development engineer","Glass product development engineer, abrasive development engineer, cement development engineer, ceramics development engineer, fine ceramics product development engineer"
"","","","","","","079-99","Development engineers not classified elsewhere","Nuclear engineer (development), mine development engineer, mining development engineer, woven fabric development engineer, dyeing development engineer, exploration development engineer, spinning development engineer"
"","","08","Manufacturing technician","081","Food manufacturing technician","081-01","Food manufacturing technician","Canning engineers, food refrigeration engineers (excluding development engineers), brewing engineers (excluding development engineers), fishery food manufacturing engineers, sugar manufacturing engineers (excluding development engineers), flour milling engineers (development) (Excluding technicians), soft drink manufacturing technicians, dairy product manufacturing technicians"
"","","","","082","Electrical / electronic / telecommunications manufacturing engineer (excluding communication networks)","082-01","Electrical / electronic / telecommunications equipment production engineer","Electrical equipment production engineer, electronic equipment production engineer, telecommunications equipment production engineer"
"","","","","","","082-02","Electrician","Electrical work construction management engineer, electrical facility construction management engineer"
"","","","","","","082-99","Electrical / electronic / telecommunications manufacturing engineers not classified elsewhere (excluding communication networks)","Electrical / electronic equipment manufacturing engineers (excluding production engineers), telecommunications equipment manufacturing engineers (excluding production engineers)"
"","","","","083","Machine manufacturing engineer","083-01","Machine production engineer","Motor production engineer, machine tool production engineer, precision machine production engineer"
"","","","","","","083-99","Machine manufacturing technicians not classified elsewhere","Motor manufacturing engineer (excluding production engineer), machine tool manufacturing engineer (excluding production engineer), precision machine manufacturing engineer (excluding production engineer)"
"","","","","084","Automobile manufacturing engineer","084-01","Automobile production engineer","Automobile production engineer"
"","","","","","","084-99","Automakers not classified elsewhere","Automobile manufacturing engineer (excluding production engineer)"
"","","","","085","Transportation equipment manufacturing engineer (excluding automobiles)","085-01","Transportation equipment manufacturing engineer (excluding automobiles)","Aircraft manufacturing engineer, ship manufacturing engineer, railroad vehicle manufacturing engineer"
"","","","","086","Metal smelting / material manufacturing engineer","086-01","Metal smelting / material manufacturing engineer","Rolling engineer (excluding development engineer), casting engineer (excluding development engineer), metal smelting engineer (excluding development engineer), alloy engineer (excluding development engineer), iron making engineer (excluding development engineer) Development engineers (excluding development engineers), forging engineers (excluding development engineers), casting engineers (excluding development engineers), electric refining engineers (excluding development engineers)"
"","","","","087","Chemical manufacturing engineer","087-01","Chemical production engineer","Pharmaceutical production engineer, chemical fiber production engineer, chemical fertilizer production engineer, chemical production engineer, cosmetics production engineer, synthetic rubber production engineer, polymer chemical product production engineer, biochemical production engineer, plastic product Production engineer, inorganic chemical product production engineer, organic chemical product production engineer, oil and fat product production engineer"
"","","","","","","087-02","Analytical chemistry engineer","Pharmaceutical inspection technician, inorganic chemical analysis inspection technician, organic chemical analysis technician"
"","","","","","","087-99","Chemical manufacturing technicians not classified elsewhere","Pharmaceutical manufacturing engineers (excluding production engineers), chemical fiber manufacturing engineers (excluding production engineers), chemical fertilizer manufacturing engineers (excluding production engineers), chemical manufacturing engineers (excluding production engineers) , Cosmetics manufacturing engineer (excluding production engineer), synthetic rubber manufacturing engineer (excluding production engineer), polymer chemical product manufacturing engineer (excluding production engineer), plastic product manufacturing engineer (production engineer) ), Inorganic chemical product manufacturing engineer (excluding production engineer), organic chemical product manufacturing engineer (excluding production engineer), oil and fat product manufacturing engineer (excluding production engineer)"
"","","","","089","Other manufacturing technicians","089-01","Ceramic product manufacturing engineer","Glass product manufacturing engineer, abrasive manufacturing engineer, cement manufacturing engineer, fine ceramics product manufacturing engineer, ceramics manufacturing engineer"
"","","","","","","089-99","Manufacturing technicians not classified elsewhere","Nuclear engineer (excluding development engineer), mining engineer (excluding development engineer), weaving engineer (excluding development engineer), dyeing engineer (excluding development engineer), spinning engineer (development engineer) Excluding technicians)"
"","","09","Architecture / Civil Engineering / Surveyor","091","Building engineer","091-01","Architectural design engineer","Building structure design engineer, building designer, building equipment design engineer"
"","","","","","","091-02","Construction supervision","Construction site supervision, building construction management engineer"
"","","","","","","091-99","Construction engineer not classified elsewhere","Seismic diagnostician (architect), building inspector (architect)"
"","","","","092","Civil engineer","092-01","Civil engineering design engineer","Port design engineer, landscaping design engineer, railroad track design engineer, civil engineering facility design engineer"
"","","","","","","092-02","Civil engineering supervision","Civil engineering site supervisor, civil engineering construction management engineer"
"","","","","","","092-99","Civil engineer not classified elsewhere","Construction inspector (Regional Development Bureau), civil engineering inspector"
"","","","","093","Surveyor","093-01","Surveyor",""
"","","","","","","093-98","Assistant Surveyor",""
"","","10","Information processing / communication engineer","101","System consultant","101-01","System consultant","IT consultant"
"","","","","102","System design engineer","102-01","System design engineer","System architect, system analyst, in-house system engineer (mainly engaged in system design)"
"","","","","103","Information processing project manager","103-01","Information processing project manager","Project manager (application software development), project manager (system development)"
"","","","","104","Software development engineer","104-01","Software development engineer (WEB / open system)","WEB software development engineer, open software development engineer, content development engineer (mobile site)"
"","","","","","","104-02","Software development engineer (embedded / control system)","Embedded software development engineer, control software development engineer"
"","","","","","","104-03","Software development engineer (general-purpose machine)","General-purpose machine software development engineer"
"","","","","","","104-04","programmer","Coder, software programmer"
"","","","","","","104-99","Software development engineer not classified elsewhere","Software test engineer"
"","","","","105","System operation administrator","105-01","System operation administrator","Server administrator, system administrator, in-house system engineer (mainly engaged in system operation), information security engineer, database administrator, technical support engineer"
"","","","","106","Communication network technician","106-01","Communication network technician","Telecommunications engineers, telecommunications facility engineers, network engineers"
"","","","","109","Other information processing / communication engineers","109-99","Other information processing / communication engineers",""
"","","11","Other technicians","119","Other technicians","119-01","Occupational safety and health technician","Working environment measurer, occupational safety consultant"
"","","","","","","119-02","Environmental hygiene technician","Sewage treatment engineer, manure treatment facility engineer, waste treatment facility technical manager, water treatment facility management engineer"
"","","","","","","119-99","Technicians not classified elsewhere","Space development engineer, geological survey engineer, boiler inspector, high pressure gas equipment safety inspector"
"","","12","Doctors, dentists, veterinarians, pharmacists","121","Doctor","121-01","Doctor","Surgeon, obstetrician and gynecologist, psychiatrist, pediatrician, physician"
"","","","","122","Dentist","122-01","Dentist",""
"","","","","123","Veterinarian","123-01","Veterinarian","Livestock Clinic Veterinarian, Small Animal Clinical Veterinarian, Veterinary Hospital Veterinarian, Livestock Inspector"
"","","","","124","pharmacist","124-01","Pharmacist (dispensing)","Dispensing pharmacy Pharmacist, pharmacist (hospital dispensing office)"
"","","","","","","124-02","Pharmacist (pharmaceutical sales)","Pharmaceutical salesperson (pharmacist)"
"","","","","","","124-99","Unclassified pharmacist","Drug management pharmacist (pharmaceutical wholesale business), clinical trial coordinator (CRC: pharmacist)"
"","","13","Public health nurses, midwives, nurses","131","Public health nurse","131-01","Public health nurse","Chief of Health"
"","","","","132","Midwife","132-01","Midwife","Midwife"
"","","","","133","Nurse, associate nurse","133-01","nurse","Chief nurse, clinical trial coordinator (CRC: what is a nurse), visiting nurse"
"","","","","","","133-02","Associate nurse",""
"","","14","Medical technician","141","Radiological technologist","141-01","Radiological technologist","Radiological X-ray technician, X-ray technician (medical), radiologist (medical)"
"","","","","142","Clinical engineer","142-01","Clinical engineer","Clinical engineer"
"","","","","143","Clinical laboratory technician","143-01","Clinical laboratory technician","Public health laboratory technologist, electrocardiogram inspector, ultrasonic inspector (clinical examination)"
"","","","","144","physical therapist","144-01","physical therapist","PT (Physiotherapist)"
"","","","","145","Occupational therapist","145-01","Occupational therapist","OT (Occupational Therapist)"
"","","","","146","Orthoptist, speech therapist","146-01","Orthoptist","ORT (Orthoptist)"
"","","","","","","146-02","Speech therapist","ST (speech-language therapist)"
"","","","","147","Dental hygienist","147-01","Dental hygienist",""
"","","","","148","Dental technician","148-01","Dental technician",""
"","","15","Other health professions","151","Dietitian, registered dietitian","151-01","Nutritionist","School nutritionist, hospital nutritionist, welfare facility nutritionist"
"","","","","","","151-02","Registered dietitian","Registered dietitian"
"","","","","152","Anma Massage Shiatsushi, Acupuncture, Moxibutionist","152-01","Anma Massage Shiatsushi","Anma, Anma masseuse, Shiatsu, masseuse"
"","","","","","","152-02","Acupuncturist","Acupuncturist"
"","","","","","","152-03","Moxibutionist","Moxibustionist"
"","","","","153","Judo rehabilitation teacher","153-01","Judo rehabilitation teacher","Osteopath, osteopath"
"","","","","159","Healthcare profession not classified elsewhere","159-01","Prosthetist","Prosthetist"
"","","","","","","159-99","Other health care professions not classified elsewhere",""
"","","16","Professional profession of social welfare","161","Welfare counseling / guidance specialist","161-01","Welfare counselor","Home counselor, caseworker (rehabilitation counseling center for persons with disabilities), child welfare officer, welfare officer for persons with disabilities, counselor (child guidance center), counselor (women's counseling center), mother and child independence supporter, interviewer (welfare office) )"
"","","","","","","161-99","Welfare counseling and guidance specialists not classified elsewhere","Inspection instructor, child psychology officer, psychological judge, welfare office caseworker, welfare office district staff"
"","","","","162","Welfare facility guidance specialist","162-01","Elderly welfare facility guidance specialist","Functional training instructor (welfare facility for the elderly), life instructor (welfare facility for the elderly), life counselor (welfare facility for the elderly)"
"","","","","","","162-02","Welfare facility guidance specialist for persons with disabilities","Work instructor, vocational instructor, job judge, employment supporter (disabled person facility), life supporter (disabled person facility)"
"","","","","","","162-03","Child welfare facility guidance specialist","Child instructor (child care facility), child independence support specialist, child life supporter, boy instructor, mother and child instructor"
"","","","","163","Childminder","163-01","Childminder","Childminder"
"","","","","169","Other social welfare professionals","169-01","Nursing care specialist","Care manager"
"","","","","","","169-02","Medical social worker","Medical Social Worker (MSW), Psychiatric Social Worker (PSW), Psychiatric Social Worker, Hospital Caseworker"
"","","","","","","169-99","Professional welfare profession not classified elsewhere","Psychological counselor (social welfare facility), school social worker, counselor (social welfare council), counselor (community comprehensive support center), welfare equipment specialist counselor"
"","","17","Legal profession","171","judge","171-01","judge","Judge"
"","","","","172","Prosecutor","172-01","Prosecutor",""
"","","","","173","lawyer","173-01","lawyer","lawyer"
"","","","","174","patent attorney","174-01","patent attorney","patent attorney"
"","","","","175","Judicial scrivener","175-01","Judicial scrivener","Judicial scrivener"
"","","","","179","Other legal professions","179-01","Land and house survey",""
"","","","","","","179-99","Legal profession not classified elsewhere","Maritime Tribunal Judge, Notary, Court Clerk, Court Investigator, JPO Judge"
"","","18","Professional occupation of management / finance / insurance","181","Certified public accountant","181-01","Certified public accountant","Assistant accountant"
"","","","","182","Tax accountant","182-01","Tax accountant",""
"","","","","183","Social insurance labor consultant","183-01","Social insurance labor consultant","Social insurance labor consultant"
"","","","","184","Finance / insurance profession","184-01","Finance / insurance profession","Actuaries, financial product developers, securities analysts, fund managers, insurance product developers"
"","","","","189","Other management / finance / insurance professions","189-01","business consultant","Management instructor (Chamber of Commerce, Chamber of Commerce), Registered Management Consultant"
"","","","","","","189-99","Professional profession of management, finance and insurance that is not classified elsewhere","Incubation manager, agricultural cooperative auditor"
"","","19","Educational profession","191","Kindergarten teacher","191-01","Kindergarten teacher","Kindergarten teacher, kindergarten school nurse"
"","","","","192","Elementary school teacher","192-01","Elementary school teacher","Elementary school teacher, elementary school nurse teacher"
"","","","","193","Junior high school teacher","193-01","Junior high school teacher","Junior high school teacher, junior high school school nurse"
"","","","","194","High school teacher","194-01","High school teacher","High school teacher, high school school nurse"
"","","","","195","Secondary school teacher","195-01","Secondary school teacher","Secondary school teacher, secondary school nurse teacher"
"","","","","196","Special Needs School Teacher","196-01","Special Needs School Teacher","Special support school teacher, special support school school nurse"
"","","","","197","College teacher","197-01","College teacher","College of Technology Professor, College of Technology Associate Professor, College of Technology Assistant Professor"
"","","","","198","University faculty","198-01","University faculty","University professor, university associate professor, university lecturer, university assistant professor"
"","","","","199","Other educational professions","199-01","Vocational school teacher","Nursing vocational school teacher, accounting / bookkeeping vocational school teacher, automobile maintenance vocational school teacher, cooking vocational school teacher, design vocational school teacher, fashion vocational school teacher, childcare vocational school teacher, hairdressing and beauty vocational school teacher"
"","","","","","","199-02","Various school teachers","English Conversation Academy teachers (miscellaneous schools), study school teachers (miscellaneous schools), automobile training instructors, Japanese language teachers, preparatory school teachers, cooking school teachers (miscellaneous schools)"
"","","","","","","199-03","Vocational training instructor","Vocational training instructor (vocational ability development school for persons with disabilities), vocational training instructor (vocational ability development promotion center)"
"","","","","","","199-04","Training facility teacher","Instructor (in-house employee education and training specialist)"
"","","","","","","199-99","Educational profession not classified elsewhere","Today's instructor, associate nurse training center teacher"
"","","20","Religious person","201","Religious person","201-01","Religious person","Christian clergy, priests, Buddhist monks"
"","","21","Writer, reporter, editor","211","Writer","211-01","Literary artist","Lyricist, writer, poet, novelist, essayist"
"","","","","","","211-02","translator","translator"
"","","","","","","211-03","Copywriter","Creator (creator of advertising copy), pop writer (creator of over-the-counter advertising)"
"","","","","","","211-99","Writer not classified elsewhere","Writer, scenario writer, critic"
"","","","","212","Reporter","212-01","Newspaper / broadcast reporter","Newspaper reporter, newspaper editorial writer, correspondence reporter, broadcast reporter"
"","","","","","","212-02","Magazine reporter","Magazine reporter"
"","","","","","","212-03","Technical writer","Manual writer"
"","","","","","","212-99","Reporters not classified elsewhere","Sports writer, travel writer, reportage writer"
"","","","","213","Editor","213-01","Newspaper / magazine / book editor","Magazine editor, newspaper editor, book editor"
"","","","","","","213-99","Editors not classified elsewhere","Movie editor, in-house newsletter editor (editing contract), broadcast program organizer"
"","","22","Artist, designer, photographer, filmmaker","221","Sculptor","221-01","Sculptor","Art sculptor"
"","","","","222","Painter, calligrapher, cartoonist","222-01","Painter, calligrapher","Calligrapher, Japanese-style painter, printmaker, Western-style painter"
"","","","","","","222-02","Cartoonist, illustrator","Illustrator, graphic novelist, comic artist, technical illustrator"
"","","","","223","Craft artist","223-01","Craft artist","Glass craftsman, lacquer craftsman, metal sculptor, dyeing and weaving craftsman, potter, swordsman, wood craftsman"
"","","","","224","designer","224-01","graphic designer","Advertising designer, sign designer, package designer"
"","","","","","","224-02","Web designer","Web creator, web designer, homepage designer"
"","","","","","","224-03","Display designer","Product decoration exhibition clerk, show window decoration job"
"","","","","","","224-04","Industrial designer","Industrial designer, craft designer, product designer"
"","","","","","","224-05","Interior designer","Interior coordinator, furniture designer, lighting designer, space designer"
"","","","","","","224-06","Fashion designer","Apparel designer, textile designer, fashion designer"
"","","","","","","224-99","Designers not classified elsewhere","Accessory designer, color designer, CG designer, jewelry designer, binding artist, book designer, flower designer"
"","","","","225","Photographer, filmmaker","225-01","photographer","Business photographer, photographer, commercial photographer, photographer, news photographer"
"","","","","","","225-02","Videographer","Movie cameraman, TV cameraman, video cameraman"
"","","","","","","225-98","Photographer assistant, videographer assistant","Photographer assistant, shooting assistant"
"","","23","Musician, performing arts","231","musician","231-01","musician","Performer, singer, composer, conductor, Japanese musician"
"","","","","232","Dancer","232-01","Dancer","Stage dancer, Western dancer, Japanese dancer, ballerina"
"","","","","233","Actor","233-01","Actor","Movie actor, Kabuki actor, Kyogen master, voice actor, TV actor, Noh master"
"","","","","234","Producer, director","234-01","producer","Assistant producer, program producer (broadcast)"
"","","","","","","234-02","Director","Assistant director, film director, lighting director, art director, stage director, stage illuminator, director (movie, broadcast)"
"","","","","235","Performer","235-01","Performer","Magician, acrobat, storyteller, comedian, puppeteer, manzai master, rakugoka, rokyoku master"
"","","24","Other professional occupations","241","Librarian","241-01","Librarian","Librarian, assistant librarian"
"","","","","242","curator","242-01","curator","Assistant curator"
"","","","","243","Counselor (excluding medical and welfare facilities)","243-01","Student counselor","School counselor, school clinical psychologist, school counselor, youth counselor (Board of Education)"
"","","","","","","243-02","Workplace counselor","Workplace counselor"
"","","","","","","243-03","Vocational counselor","Career counselor"
"","","","","","","243-99","Counselors not classified elsewhere (excluding medical and welfare facilities)","Psychological counselor (individual business), school advisor"
"","","","","244","Private teacher","244-01","Subject learning supplementary teacher","Cram school teachers (non-miscellaneous schools), tutors"
"","","","","","","244-02","Personal computer classroom teacher","PC instructor (to teach to individuals)"
"","","","","","","244-03","Sports tutor","Sports instructor, sports club instructor"
"","","","","","","244-99","Private teachers not classified elsewhere","Outdoor instructor, Go teacher, English conversation teacher, music class teacher, calligraphy tutor, flower tutor, tea ceremony tutor, dance teacher"
"","","","","245","Occupational sportsman","245-01","Occupational sportsman","Sports referee, professional golfer, professional soccer player, professional baseball manager, professional baseball coach, professional baseball player, wrestler"
"","","","","246","Communication equipment operator","246-01","Wireless correspondent","Aviation-related radio communication personnel, ship-related radio communication personnel, general radio communication personnel"
"","","","","","","246-02","Wireless technician","TV broadcasting technician, special radio technician, broadcasting relay staff, radio broadcasting technician"
"","","","","","","246-03","Wired correspondent","Wired communication operator, cable broadcasting technician"
"","","","","","","246-99","Communication equipment operators not classified elsewhere","Air traffic controller, sound technician, mixer (TV / radio), switcher (video switching operator), recording technician"
"","","","","249","Professional profession not classified elsewhere","249-01","Administrative scrivener","Administrative scrivener"
"","","","","","","249-02","Real estate appraiser","Real estate appraiser"
"","","","","","","249-03","Radio / TV announcer","Announcer, weather forecast commentator (weather forecaster), TV / radio moderator"
"","","","","","","249-04","Interpreter","English interpreter, sign language interpreter"
"","","","","","","249-05","Bulletin","Bulletin"
"","","","","","","249-06","Tuner","Piano tuner"
"","","","","","","249-07","Trainer","Dog trainer, horse trainer"
"","","","","","","249-08","Customs officer","Customs officer"
"","","","","","","249-99","Other professional occupations not classified elsewhere","Art director, corporate credit bureau, tallyman (tallyman), advertising director, searcher (patent), perfumer, art repairer"
"C","Administrative profession","25","General affairs occupation","251","General affairs clerk","251-01","General affairs clerk","Stock clerk, spokesperson clerk, general affairs clerk, general affairs clerk, document clerk"
"","","","","252","Personnel clerk","252-01","Human Resources Clerk","Recruitment clerk, salary clerk, personnel management clerk, welfare clerk, labor management clerk"
"","","","","","","252-02","Education / Training Clerk","Training clerk, training planning clerk"
"","","","","253","Planning / investigation clerk","253-01","Planning clerk (excluding product planning)","Event planner, sales planning clerk (mainly planning), corporate planning clerk, material planning clerk, production planning clerk, store development clerk, sales planning clerk, sales promotion clerk, marketing planning clerk"
"","","","","","","253-02","Product planning clerk","Publication planner, product development staff"
"","","","","","","253-03","Investigation clerk","Marketer, marketing researcher"
"","","","","254","Reception / guidance clerk","254-01","Company / group receptionist","Information desk (company), company receptionist"
"","","","","","","254-99","Reception / guidance clerk not classified elsewhere","Counter receptionist (library, museum), bank store guide, car maintenance shop receptionist, showroom receptionist, beauty salon receptionist (non-beautician)"
"","","","","255","Secretary","255-01","Secretary","Company President Secretary, Secretary"
"","","","","256","Telephone reception clerk","256-01","Telephone operator","Information desk operator, private telephone operator, international call operator"
"","","","","","","256-02","Call center operator","Customer Service Office (by telephone), mail order reception clerk (by telephone), telecommunicator, telephone survey operator"
"","","","","","","256-03","Telephone pointer","Telephone clerk (engaged in solicitation)"
"","","","","","","256-99","Telephone reception clerk not classified elsewhere",""
"","","","","257","General clerk","257-01","General clerk","General clerk"
"","","","","","","257-97","Administrative assistant","Address calligrapher, company mail clerk, assistant clerk, temporary clerk"
"","","","","258","Medical / long-term care clerk","258-01","Medical clerk","Medical secretary, health insurance claim clerk, dental care claim clerk, dispensing pharmacy clerk, hospital receptionist, ward clerk"
"","","","","","","258-02","Care clerk","Long-term care insurance clerk, long-term care insurance claim clerk"
"","","","","259","Other general clerical occupations","259-01","Mail order reception clerk (excluding telephone)","Internet mail order reception clerk"
"","","","","","","259-02","Medical information management clerk","Medical information manager, medical record staff, medical history staff"
"","","","","","","259-99","General clerical profession not classified elsewhere","Ship parser, legal clerk"
"","","26","Accounting profession","261","Cash cashier","261-01","Cash cashier","Gas charge storage clerk, payment accounting clerk, payment counter clerk, social insurance premium collection clerk, accounting clerk, water charge storage clerk, tax collection clerk, electricity charge storage clerk, telephone charge storage clerk, broadcast reception fee Storage clerk"
"","","","","262","Bank counter clerk","262-01","Bank counter clerk","Bank counter, credit union counter, teller, post office savings counter, deposit and savings staff"
"","","","","263","Accounting clerk","263-01","Accounting clerk","Accounting clerk, accounting clerk, tax accountant (certified public accountant office, tax accountant office)"
"","","","","269","Other accounting professions","269-01","Budget clerk","Budget clerk, budget clerk"
"","","","","","","269-02","Clerk","Consumables accounting clerk, goods purchase and procurement clerk, goods purchasing clerk"
"","","","","","","269-03","Costing / estimation clerk","Cost accounting clerk, building estimation clerk, design estimation clerk, moving estimation clerk"
"","","","","","","269-99","Accounting profession not classified elsewhere","Finance clerk, investment trust accounting clerk"
"","","27","Production-related office work occupation","271","Production site clerk","271-01","Production / process management clerk","Process control clerk, material purchasing clerk, production control clerk, product cost control clerk"
"","","","","","","271-02","Production site clerk not classified elsewhere","Construction site clerk, site record clerk, mine site clerk"
"","","","","272","Shipping / receiving clerk","272-01","Cleaning staff","Cleaning order acceptance clerk, cleaning agency worker, DPE shop clerk, digital photo print order acceptance clerk"
"","","","","","","272-02","Acceptance / inspection staff","Inspection and inspection staff, material inspection clerk, warehouse inspection staff, delivery inspection staff"
"","","","","","","272-03","Storage and management staff","Inventory management clerk, material management clerk, product management clerk, warehouse management clerk"
"","","","","","","272-04","Shipping / Shipping Staff","Shipping clerk, shipping clerk, shipping clerk, shipping clerk"
"","","28","Sales / sales-related clerical occupation","281","Sales / sales clerk","281-01","Purchasing clerk","Outsourcer, product purchaser"
"","","","","","","281-02","Sales clerk","Banquet clerk, wedding reservation / consultation clerk, credit bureau clerk, bridal coordinator, travel agency counter clerk"
"","","","","","","281-03","Sales clerk","Sales assistant, order management clerk"
